path	proposed_owner	migration_rule
.claude/hooks/protect_files.sh	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.claude/settings.json	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.claude/skills/gh-workflow-monitor/SKILL.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.claude/skills/ship/SKILL.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.claude/skills/stage/SKILL.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.claude/skills/wave-issue-coverage/SKILL.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.cursor/environment.json	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.cursor/rules/no-jumping-ahead.mdc	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.dockerignore	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.env.example	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.bestpractices.json	repository-metadata	Keep public OpenSSF self-assessment proposals with repository governance
.gc/plan-rules.md	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.gitattributes	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.gitguardian.yaml	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.github/branch-protection-baseline.json	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.github/copilot-instructions.md	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.github/dependabot.yml	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.github/workflows/checks.yml	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.github/workflows/docs-deploy.yml	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.github/workflows/pr-title-lint.yml	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.github/workflows/release-please.yml	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.github/workflows/scorecard.yml	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.gitignore	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.ground-control.yaml	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.mcp.json.example	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.pre-commit-ci.yaml	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.pre-commit-config.yaml	build-governance	Migrate policy by surface; remove bundle-of-entire-repository from generic artifact
.readthedocs.yaml	build-governance	Keep the strict single-source Read the Docs mirror with documentation governance
.release-please-manifest.json	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.serena/.gitignore	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.serena/project.yml	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.vale.ini	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
.vale/styles/AptlProject/EmDashDensity.yml	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
AGENTS.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
CHANGELOG.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
CLAUDE.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
CODE_OF_CONDUCT.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
CONTRIBUTING.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
LICENSE	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
Makefile	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
README.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
SECURITY.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
SUPPORT.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
appliance/guest/aptl-appliance-first-boot	optional-delivery	Keep sealed-seat boundary outside default install
appliance/guest/aptl-appliance-first-boot.service	optional-delivery	Keep sealed-seat boundary outside default install
appliance/guest/aptl-launch.mount	optional-delivery	Keep sealed-seat boundary outside default install
appliance/guest/provision-offline.sh	optional-delivery	Keep sealed-seat boundary outside default install
appliance/guest/scan-golden.sh	optional-delivery	Keep sealed-seat boundary outside default install
appliance/guest/system-packages.sha256	optional-delivery	Keep exact guest system package closure with delivery owner
aptl.json	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/docs/ai_red_team_test.pdf	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_1.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_10.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_11.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_12.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_13.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_14.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_15.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_16.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_17.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_18.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_19.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_2.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
